,open,high,low,close,volume
2023-01-01 00:00:00,29492.25174631283,29885.344050758507,29170.59909052421,29671.470920807467,3192215.6628114074
2023-01-01 01:00:00,29468.073853191403,29823.896439197233,29088.743797084466,29527.711166789977,4159193.7062378507
2023-01-01 02:00:00,29397.001244788713,30133.642762762993,29190.658489115092,29611.983754367855,2452227.506997389
2023-01-01 03:00:00,28958.20173270557,29464.852804014743,28519.417135814525,28970.663857406624,2570560.7505246745
2023-01-01 04:00:00,29386.848766084044,29996.28664516354,28949.96242826451,29477.436483838253,4337463.863697549
2023-01-01 05:00:00,29416.423300164468,29654.48285068206,29123.227153252526,29467.82608056792,4306026.015076395
2023-01-01 06:00:00,29417.377054840425,29853.755522820906,28955.8611402555,29483.26384615691,3152971.2599252746
2023-01-01 07:00:00,29487.592454008023,29898.973939745723,29420.051542400335,29653.795254987133,3823647.2003442314
2023-01-01 08:00:00,29874.292784410594,30478.827129137822,29614.361146676554,30055.839064325686,3514919.755957104
2023-01-01 09:00:00,29731.804961957998,30548.314525333168,29716.79648602675,30019.506323548227,3838079.633601155
2023-01-01 10:00:00,29768.143063423726,30565.270198689177,29594.395849100438,30030.320607384878,4651187.99359031
2023-01-01 11:00:00,29223.45546620709,29934.10273994963,29144.18954539201,29444.47524584995,4700016.93213746
2023-01-01 12:00:00,30622.104017604634,31240.04798364477,30299.6925072335,30641.818403337136,6574511.738770078
2023-01-01 13:00:00,30757.471861066508,31073.709730108014,30418.537756963186,30799.231009930856,5616714.445621918
2023-01-01 14:00:00,31155.24606081237,31830.311062394478,30849.65897106515,31260.205528677267,3244572.6729504843
2023-01-01 15:00:00,30660.45875448226,31393.835854761717,30537.43083237949,30931.53033318845,4600139.829802786
2023-01-01 16:00:00,30441.530814091435,31092.492199104418,30390.203169666405,30746.964964373445,3254293.5051558665
2023-01-01 17:00:00,31061.594747178166,31333.325006632243,30816.402328557262,31147.38081499242,4221634.398860649
2023-01-01 18:00:00,31110.010166070402,31926.174251214958,30877.6257518563,31342.960626719636,3409326.515764936
2023-01-01 19:00:00,31541.345218816903,31912.62263585938,31169.06686543122,31637.94836744824,1898091.2221808417
2023-01-01 20:00:00,30179.033498493765,30418.46990227455,29757.097247813414,30219.404812286088,5942144.715406105
2023-01-01 21:00:00,29627.91663225635,30349.500770931678,29413.485100761816,29814.64408410441,3963811.5873089554
2023-01-01 22:00:00,29243.818102200392,29898.636832031178,29169.648263742387,29484.07063207614,4563353.578569982
2023-01-01 23:00:00,29625.119390096028,29974.812930625598,29164.826353221917,29648.79157309737,3281771.2665026337
2023-01-02 00:00:00,29937.645893445748,30360.057858554563,29896.974635298124,30136.284406906103,4506126.861742991
2023-01-02 01:00:00,30031.342354643322,30503.204101504307,29558.286520514437,30093.940177527707,4922450.186161716
2023-01-02 02:00:00,29511.024334979003,29899.229313697277,29359.999261808975,29722.035637050943,4297305.539408496
2023-01-02 03:00:00,29330.884735800195,30095.470091278912,29274.455374342288,29529.237781186177,4505067.158014669
2023-01-02 04:00:00,29328.10451861633,29738.50304104137,29215.910834145165,29423.282582146774,2712338.5282323356
2023-01-02 05:00:00,29966.251611276683,30574.191505035495,29597.353653798025,30076.738710647423,2741574.87718893
2023-01-02 06:00:00,29424.55742734538,29626.49420099373,29257.0518121794,29448.575323732523,4940572.727502356
2023-01-02 07:00:00,30444.657894356136,31297.582480156,30121.93280919706,30724.263172898212,3840678.1702408823
2023-01-02 08:00:00,31297.447478130318,31887.09638826955,31258.360849498316,31429.684219227205,3343653.1933186846
2023-01-02 09:00:00,30386.380584825285,30897.33973124781,30323.7524357232,30660.698999156775,2559760.6236578724
2023-01-02 10:00:00,29907.427771345418,30700.24958281244,29609.79772300348,30128.353619080022,4165510.0543376375
2023-01-02 11:00:00,30189.612148048942,30427.76769443292,30065.434228200116,30244.36095308294,4390164.918092865
2023-01-02 12:00:00,29840.22382088357,30667.610152808764,29813.95749989945,30138.09742463689,3743586.4113177503
2023-01-02 13:00:00,29537.80341044665,30201.508219982512,29390.114393394415,29820.222680276285,5663826.755455709
2023-01-02 14:00:00,29915.421936947034,30123.31943203797,29796.142324281147,29968.127042445503,3624924.749242761
2023-01-02 15:00:00,29947.59770675879,30227.903172600098,29653.036208714097,29957.895583678062,4208807.908147023
2023-01-02 16:00:00,30034.375130471984,30505.67282163116,29960.40774737324,30183.919477406405,3109613.9322513775
2023-01-02 17:00:00,29162.64842245209,29650.596105191074,29016.83518033983,29310.673934171828,4014344.4240292036
2023-01-02 18:00:00,28745.549996268674,29232.092623922763,28547.224645420516,29015.618983979744,3604740.2301416025
2023-01-02 19:00:00,29050.304090810438,29580.118074181,28803.441388759926,29255.53300602164,2809377.1263653114
2023-01-02 20:00:00,29587.966915376528,29905.65940310414,29399.01545246808,29673.979933452454,3010241.8163836454
2023-01-02 21:00:00,28993.388234753504,29359.43983806517,28494.356253375307,28996.200441411675,3487098.411108953
2023-01-02 22:00:00,29183.365994418393,29858.352409263225,29125.18537711642,29305.667537367128,3137972.783976559
2023-01-02 23:00:00,28792.556403003087,29344.567537136838,28240.729322769454,28812.4308784636,2889234.6148682027
2023-01-03 00:00:00,28204.135242034063,28787.678403437403,28083.023089555038,28276.315252762673,2692601.6273430446
2023-01-03 01:00:00,27233.07506388681,27668.007067996616,26930.096084565586,27464.956699523536,3415308.038530385
2023-01-03 02:00:00,27649.15121866311,28117.98183063569,27468.02299261627,27667.874725494145,3407064.3787601297
2023-01-03 03:00:00,27933.710911770326,28466.15713674985,27794.042357211474,28181.218407373617,3997149.400336327
2023-01-03 04:00:00,28245.470589685556,28870.057249016,27939.728982969715,28378.798995738733,4324594.696591535
2023-01-03 05:00:00,29024.897676352663,29368.804789074013,28521.60177083442,29042.221632435285,2794535.403275085
2023-01-03 06:00:00,28962.201548178207,29520.40945497495,28821.20832150473,29148.26140770944,3223869.6733585135
2023-01-03 07:00:00,30039.776404101485,30358.383456015297,29655.639584218217,30190.997810755132,4739723.343335966
2023-01-03 08:00:00,29315.587072759376,29958.28356407541,29191.178100008652,29510.625274755086,3723593.8854299174
2023-01-03 09:00:00,29330.497136595604,29699.81728241006,29148.78653356884,29547.288178243532,3538248.479143684
2023-01-03 10:00:00,29925.765168649268,30416.03304798586,29722.143895153127,30052.705307423385,5506554.101044065
2023-01-03 11:00:00,28986.564124838696,29597.155889930556,28691.808876919713,29244.94629693598,4184595.0058475947
2023-01-03 12:00:00,29544.91111349034,30354.688024141422,29319.42999127851,29774.506951140265,3789853.382167089
2023-01-03 13:00:00,30709.32489833595,31055.100777920983,30268.64435960094,30811.960950158842,3619748.9088678593
2023-01-03 14:00:00,30066.89203825006,30285.500803589537,29880.62182789588,30075.185115122804,3594791.403682124
2023-01-03 15:00:00,29117.355638993326,29579.900877153068,28999.04080719435,29397.777326628857,4218369.33315488
2023-01-03 16:00:00,28731.16196646441,29435.735733290818,28707.976262865184,29011.247710410422,4141347.608056312
2023-01-03 17:00:00,29843.40915832156,30154.60505384978,29588.733342765925,29994.18123236713,4321937.35249706
2023-01-03 18:00:00,28770.528184475246,29335.33959130153,28544.989286894997,28866.02018004447,4843681.38024067
2023-01-03 19:00:00,28377.906993568406,29151.818575152698,28295.509259904135,28630.088916375647,3411171.1368458876
2023-01-03 20:00:00,28825.299278811206,29172.156513589827,28475.845876142776,29011.276384385284,2480891.994151323
2023-01-03 21:00:00,29017.42043162282,29799.43420273322,28725.913671984094,29270.530299255613,2215492.8310299423
2023-01-03 22:00:00,29724.149950362036,30321.36342579644,29453.842926784317,29792.55680513962,4224134.2210216075
2023-01-03 23:00:00,29774.697965443353,30366.541840534577,29494.094132052083,29878.03353100789,4038627.6788747995
2023-01-04 00:00:00,28844.569058575635,29634.35709525316,28758.891594167348,29122.905673891684,4460240.698486973
2023-01-04 01:00:00,29318.891246562547,29966.63099039296,29295.745811176857,29536.32479309799,3675693.7838867344
2023-01-04 02:00:00,29613.209675294846,30302.38056613171,29534.52300747502,29889.040566612464,3938980.507371312
2023-01-04 03:00:00,31141.304645988424,31711.03585374526,30957.437628930104,31328.776138120353,1833442.663709008
2023-01-04 04:00:00,30646.217751152923,31351.82273276011,30503.062635737482,30838.836978402745,3562174.023318674
2023-01-04 05:00:00,31406.102980133637,32041.053979933375,31308.417041623292,31526.642887268026,4196964.5978402
2023-01-04 06:00:00,32315.811020606587,33115.46856144388,32029.33822047991,32591.408490059825,3240751.638530682
2023-01-04 07:00:00,33066.573756663216,33914.01548970131,32799.49195379195,33385.38530921414,3484001.7163015786
2023-01-04 08:00:00,33076.182930730094,33751.82753466743,32918.26661823581,33270.42789930724,3514292.9812036105
2023-01-04 09:00:00,32362.018459484454,32847.54956096308,31922.942329941747,32465.782806190186,2671058.4773792983
2023-01-04 10:00:00,31587.627874485715,32287.610835961794,31474.216789853443,31743.82827186644,3430937.23914362
2023-01-04 11:00:00,31700.296628068685,32024.32089170414,31181.29177246169,31781.537314061086,3213050.537125631
2023-01-04 12:00:00,32523.895571044202,32962.829386155754,32129.14439829797,32679.381251830702,4132628.2906778976
2023-01-04 13:00:00,30878.13262336877,31669.100539332954,30580.03004835679,31166.719118207646,4036654.7864570036
2023-01-04 14:00:00,30604.9099771331,31442.097417747274,30475.09958603231,30865.783411382923,3651715.8161483067
2023-01-04 15:00:00,31950.570799842408,32275.192263571967,31383.117284085318,31959.532065060263,2395102.3026309973
2023-01-04 16:00:00,31949.245938046755,32381.22311401814,31644.478698432078,31967.733572237117,3962147.844014652
2023-01-04 17:00:00,32582.908247040043,33287.29458085003,32484.50155296135,32880.436701469436,3243027.8102431707
2023-01-04 18:00:00,32127.439322745202,32590.48006984002,31961.09186172542,32283.29284901538,2922497.051258173
2023-01-04 19:00:00,31901.642595715424,32310.5307127874,31715.14514434465,32114.04217336121,3433901.2178765642
2023-01-04 20:00:00,32459.54454475376,33006.01679097912,32394.123369245408,32734.267531924605,3882793.17278338
2023-01-04 21:00:00,31452.658953722515,31941.342098565765,31252.131318054224,31527.177938352965,3766633.695456977
